User-ID,ISBN,Book-Rating,Book-Title,Book-Author,Year-Of-Publication,Publisher
56399,435354965,10,The war atlas: Armed conflict--armed peace,Michael Kidron,1983,Heinemann
56399,440178002,10,Shogun,JAMES CLAVELL,1986,Dell
56399,440184622,10,Tai-Pan,JAMES CLAVELL,1986,Dell
56399,044050306X,10,Masks of the Illuminati,ROBERT A. WILSON,1990,Dell
56399,440503531,10,The Ultimate Dracula: New Stories by Some of the World's Leading Authors,Byron Preiss,1991,Dell Publishing Company
56399,440507626,8,Nitpicker's Guide for Deep Space Nine Trekkers,Phil Farrand,1996,Dell Publishing Company
56399,441007651,10,Shadows Bend: A Novel of the Fantastic and Unspeakable,David Barbour,2000,Ace Books
56399,441009697,10,M.Y.T.H. Inc. Link/Myth-Nomers and Im-Pervections,Robert Aspirin,2002,Ace Books
56399,441056350,10,Beyond Sanctuary,Janet Morris,1986,Penguin Putnam~mass
56399,441140890,10,"The Dead of Winter (Thieves' World, Book 7)",Robert Lynn Asprin,1987,Ace Books
56399,441166164,10,"The Dracula Caper (Time Wars, No. 8)",Simon Hawke,1988,Ace Books
56399,441435351,10,Kent Montana and the Really Ugly Thing from Mars,Lionel Fenn,1990,Ace Books
56399,044143536X,10,Kent Montana and the Reasonably Invisible Man,Lionel Fenn,1991,Ace Books
56399,441515304,10,Magicats,Jack Dann,1984,Penguin Putnam~mass
56399,441552765,7,Myth-Ing Persons,Robert Asprin,1991,Ace Books
56399,441694543,10,Quozl,Alan Dean Foster,1989,Ace Books
56399,441768377,10,668: The Neighbor of the Beast,Lionel Fenn,1992,Ace Books
56399,441775810,10,"Soul of the City (Thieves World Book, No 8)",Lynn Abbey,1986,Ace Books
56399,441790348,10,Stranger in a Strange Land (Remembering Tomorrow),Robert A. Heinlein,1995,ACE Charter
56399,441805957,10,Blood Ties World 9,Robert Asprin,1986,Penguin Putnam~mass
56399,441805965,10,"Wings of Omen (Thieves' World, Book 6)",Robert Asprin,1987,Ace Books
56399,441806104,10,"Uneasy Alliances (Thieves World, Bk 11)",Robert Asprin,1988,Ace Books
56399,441810764,7,Time Enough for Love,Robert A. Heinlein,1994,Ace Books
56399,441859453,10,"Art in the Blood (Vampire Files, No 4)",P. N. Elrod,1991,Ace Books
56399,441885918,10,Who's Afraid of Beowulf?,Tom Holt,1996,Ace Books
56399,446359203,10,Carrion Comfort,Dan Simmons,1990,Warner Books
56399,446363251,10,Scarlett : The Sequel to Margaret Mitchell's \Gone With the Wind\,Alexandra Ripley,1992,Warner Books
56399,446364754,10,Children of the Night,Dan Simmons,1993,Warner Books
56399,446365386,10,Gone with the Wind,Margaret Mitchell,1993,Warner Books
56399,446390577,10,Bare Bones: Conversations on Terror With Stephen King,Tim Underwood,1989,Warner Books
56399,446524328,10,The Merlin Mystery,Jonathan Gunson,1998,Warner Books Inc
56399,044661100X,10,Hotel Transylvania,Chelsea Quinn Yarbro,2002,Warner Books
56399,449213013,10,Earth Abides,George R. Stewart,1989,Fawcett Books
56399,449903478,10,The Catalog of Lost Books: An Annotated and Seriously Addled Collection of Great Books That Should Have Been Written but Never Were,Tad Tuleja,1989,Ballantine Books
56399,044991089X,8,The Greenlanders,Jane Smiley,1996,Ballantine Books
56399,450054594,9,Cat's Revenge: More Than 101 Uses for Dead People,Philip Lief,1982,Hodder &amp; Stoughton General Division
56399,450428540,7,Weapons of Chaos,Robert E. Vardeman,1989,Hodder &amp; Stoughton General Division
56399,450501000,10,Wise-woman,R.A. Forde,1989,Hodder &amp; Stoughton General Division
56399,450567974,10,Saxon Tapestry,Sile Rice,1992,Hodder &amp; Stoughton General Division
56399,451137361,10,Complete Book of Magic and Witchcraft,Katheryn Paulsen,1980,Signet Book
56399,451160533,10,She Who Remembers,Linda Lay Shuler,1989,Signet Book
56399,451169530,10,The Stand: Complete and Uncut,Stephen King,1991,Signet Book
56399,451170539,10,The Fantastic Adventures of Robin Hood,Martin H. Greenberg,1991,New Amer Library
56399,451200810,10,North and South (North and South Trilogy Series),John Jakes,2000,Signet Book
56399,451200829,10,Love and War (North and South Trilogy Series Volume 2),John Jakes,2000,Signet Book
56399,451200837,10,Heaven and Hell (North and South Trilogy Series Volume 3),John Jakes,2000,Signet Book
56399,451204530,7,Code to Zero,Ken Follett,2001,Signet Book
56399,451401727,10,Headhunter,Michael Slade,1994,Onyx Books
56399,451453573,10,Eric (Discworld Novels (Paperback)),Terry Pratchett,1995,Roc
56399,451518829,7,Sons and Lovers,D. H. Lawrence,1985,Signet Classics
56399,451523377,10,Dracula (Signet Classics (Paperback)),Bram Stoker,1997,Signet Classics
56399,451525426,6,Arabian Nights: The Marvels and Wonders of the Thousand and One Nights,Jack Zipes,1991,Signet Classics
56399,451525434,10,Dubliners,James Joyce,1995,Signet Classics
56399,452011558,10,Geronimo: His Own Story,Geronimo,1996,Plume Books
56399,452284449,8,The Virgin Blue,Tracy Chevalier,2003,Plume Books
56399,460078402,10,The outing: A story;,Dylan Thomas,1971,Dent
56399,471048631,10,"Skywatchers, Shamans &amp; Kings : Astronomy and the Archaeology of Power (Wiley Popular Science,)",E. C.  Krupp,1996,Wiley
56399,471902071,10,The Medical Effects of Nuclear War (A Wiley Medical Publication),British Medical Association,1983,John Wiley and Sons Ltd
56399,486228029,10,The Malleus Maleficarum of Heinrich Kramer and James Sprenger.,Henricus Institoris,1971,Dover Publications
56399,486228371,10,La Bas (Down There),Joris Karl Huysmans,1978,Dover Publications
56399,486229947,10,Leyden Papyrus: An Egyptian Magical Book,F. L. Griffith,1974,Dover Publications
56399,486264688,10,A Shropshire Lad (Dover Thrift Editions),A. E. Housman,1990,Dover Publications
56399,486419428,10,The Vampire in Lore and Legend (Dover Books on Anthropology and Folklore),Montague Summers,2001,Dover Publications
56399,491007248,7,Acting and Stagecraft Made Simple,Derek Bowskill,0,Citadel
56399,050005083X,10,The World of the Druids,Miranda J. Aldhouse-Green,1997,Irish Books &amp; Media
56399,500271194,10,"The fantasy book: The ghostly, the Gothic, the magical, the unreal",Franz Rottensteiner,1978,Thames and Hudson
56399,500279780,10,Guilty Parties: A Mystery Lover's Companion,Ian Ousby,1997,W W Norton &amp; Co Inc
56399,500300410,10,Vampires: The World of the Undead (New Horizons),Jean Marigny,1994,Thames and Hudson Ltd
56399,500300909,10,"Standing Stones: Stonehenge, Carnac and the World of Megaliths (New Horizons)",Jean Pierre Mohen,1999,Thames and Hudson Ltd
56399,515103454,5,Haunted,James Herbert,1993,Jove Books
56399,515111155,7,Wet Work,Philip Nutman,1993,Jove Books
56399,517163942,10,500 Nations : An Illustrated History of North American Indians,ALVIN M. JOSEPHY,2002,Gramercy
56399,517360578,10,Murderess ink: The better half of the mystery,Dilys Winn,1981,Distributed by Crown Publishers
56399,517799693,10,"The Man in the Ice: The Discovery of a 5,000-Year-Old Body Reveals the Secrets of the Stone Age",Konrad Spindler,1995,Harmony Books
56399,520217578,10,The Teachings of Don Juan: A Yaqui Way of Knowledge,Carlos Castaneda,1998,University of California Press
56399,521785766,10,Magic in the Middle Ages (Canto),Richard Kieckhefer,2000,Cambridge University Press
56399,540031666,10,"RAC, the West Country, South Wales, Bristol, and Cardiff (Navigator)",Map Productions,1981,RAC
56399,054006436X,10,Surrey Street Atlas,George Philip &amp; Son,1996,Survey
56399,055010075X,10,Chambers Super-Mini Book of Facts,Trevor Anderson,2003,Chambers
56399,550190112,10,"Chambers Anagrams for Crosswords, Scrabble, and All Other Word Games: From Chambers 20th Century Dictionary",Chaz R. Pewters,1987,W &amp; R Chambers
56399,550190333,10,Chambers Fiction File,Roger Prebble,1992,Chambers Harrap Publishers Ltd
56399,552133256,10,Strata,Terry Pratchett,1988,Corgi Adult
56399,552136328,10,Toady: Welcome to the Horror Club...,Mark Morris,1990,Transworld Publishers Ltd
56399,552143243,10,The Discworld Mapp,Terry Pratchett,1995,Corgi
56399,552999458,8,Dead Famous,Ben Elton,2002,"Black Swan Books, Limited"
56399,553011669,10,Urshurak,"and Nichols, Hildebrandt",1979,Bantam Books
56399,553210114,10,The Red Badge of Courage (Bantam Classics),STEPHEN CRANE,1981,Bantam
56399,553211684,7,Tess of the d'Urbervilles,THOMAS HARDY,1984,Bantam Classics
56399,553212621,10,Lady Chatterley's Lover: Complete and Unexpurgated 1928 Orioli Edition,D. H. Lawrence,1983,Bantam
56399,553250426,10,The Clan of the Cave Bear (Earth's Children (Paperback)),Jean M. Auel,1984,Bantam Books
56399,553250531,10,The Valley of Horses,JEAN M. AUEL,1984,Bantam
56399,553258478,10,Exodus,Leon Uris,1983,Bantam Books
