User-ID,ISBN,Book-Rating,Book-Title,Book-Author,Year-Of-Publication,Publisher
206944,786868619,8,Stolen Lives: Twenty Years in a Desert Jail,Malika Oufkir,2001,Talk Miramax Books
206944,800756797,7,The New Birth Order Book: Why You Are the Way You Are,Kevin Leman,1998,Revell
206944,080213825X,6,Four Blondes,Candace Bushnell,2001,Grove Press
206944,804106304,8,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12)
206944,080410753X,8,The Kitchen God's Wife,Amy Tan,1992,Ivy Books
206944,805054383,2,The Bear Went over the Mountain,William Kotzwinkle,1997,Owl Books (NY)
206944,089471838X,10,Natural California: A Postcard Book,Not Applicable (Na ),1990,Running Pr
206944,962945234,8,"Food Lover's Guide to Milwaukee: Insider's Guide to Ethnic Bakeries, Grocery Stores, Meat Markets, Specialty Food Shops &amp; Cafes",Cari Taylor-Carlson,1996,Serendipity Ink
206944,963440373,7,"Where the Locals Eat Business Traveler East: A Guide to Local-Favorite Restaurants in the Largest U.S. Cities East of the Mississippi (Where the Locals Eat Business Traveler : East, 1999)",L. Lee Wilson,1999,Midpoint Trade Books Inc
206944,1566400201,10,Dreams of Childhood: Postcard Book,Pomegranate Publishers,1992,Pomegranate Communications
206958,684865742,10,Tis: A Memoir,Frank McCourt,2000,Scribner
206959,20198906,10,Joshua,Joseph F Girzone,1987,Macmillan
206959,61094153,9,"The Reconciliation (Imajica, Book 2)",Clive Barker,1995,HarperTorch
206959,64404242,7,Maniac Magee,Jerry Spinelli,1992,HarperCollins Publishers
206959,140186409,5,The Grapes of Wrath (20th Century Classics),John Steinbeck,1992,Penguin Books
206959,140320970,8,The Twenty-One Balloons,William Pene du Bois,1986,Puffin Books
206959,345340906,10,That's Not What I Meant: How Conversational Style Makes or Breaks Relationships,Deborah Tannen,1991,Ballantine Books
206959,375703632,7,The Love of a Good Woman : Stories,Alice Munro,1999,Vintage Books USA
206959,385044011,7,Poems That Touch the Heart,A. L. Alexander,1956,Doubleday Books
206959,042510687X,7,Outbreak,Robin Cook,1991,Berkley Publishing Group
206959,440403278,8,Number the Stars (Yearling Newbery),Lois Lowry,1990,Yearling Books
206959,440495962,9,The Witch of Blackbird Pond (Yearling Newbery),ELIZABETH GEORGE SPEARE,1987,Yearling
206959,451524667,8,Animal Farm,George Orwell,1990,New Amer Library Classics
206959,451525655,8,Aesop's Fables (Signet Classics (Paperback)),Jack Zipes,1992,Signet Classics
206959,553569074,8,Wouldn't Take Nothing for My Journey Now,Maya Angelou,1994,Bantam Books
206959,553577123,10,The Diary of a Young Girl: The Definitive Edition,Anne Frank,1997,Bantam Books
206959,590406116,7,Call It Courage,Armstrong Sperry,1990,Scholastic Paperbacks (Mm)
206959,590441876,7,My Book of Funny Valentines (Read With Me),Margo Lundell,1993,Scholastic
206959,679600205,8,Best Short Stories of Dostoyevsky (Modern Library Series),Fyodor Dostoyevsky,1992,Modern Library
206959,068484267X,10,Angela's Ashes: A Memoir,Frank McCourt,1999,Scribner
206959,684865742,8,Tis: A Memoir,Frank McCourt,2000,Scribner
206959,764223305,10,The Covenant (Abram's Daughters),Beverly Lewis,2002,Bethany House Publishers
206959,823407977,8,Farming,Gail Gibbons,1990,Holiday House
206959,884862186,10,Apples of Gold: Wings of Silver : Treasures of Silver,Jo Petty,1998,World Publishing
206959,964716828,6,Chiropractic First: The Fastest Growing Healthcare Choice Before Drugs or Surgery,Terry A. Rondberg,1996,Chiropractic Journal
206959,1565122410,8,What the Dormouse Said: Lessons for Grown-Ups from Children's Books,Amy Gash,1999,Algonquin Books
206959,1893622118,10,Heartsongs,Matthew Joseph Thaddeus Stepanek,2001,Vacation Spot Pub.
206960,140283587,7,Are You Experienced?,William Sutcliffe,1999,Viking Penguin Inc
206967,151836000,10,A Soldier of the Great War,Mark Helprin,1991,Harcourt
206967,446516538,5,Slow Waltz in Cedar Bend,Robert James Waller,1993,Warner Books
206967,679435328,8,The Angel of Darkness,Caleb Carr,1997,Random House Inc
206972,039450657X,10,The Norman Rockwell Poster Book / Edited,Norman Rockwell,1982,Random House Value Publishing
